1,AD,northern,entirely
2,AE,northern,entirely
3,AF,northern,entirely
4,AG,northern,entirely
5,AI,northern,entirely
6,AL,northern,entirely
7,AM,northern,entirely
8,AO,southern,entirely
9,AQ,southern,entirely
10,AR,southern,entirely
11,AS,southern,entirely
12,AT,northern,entirely
13,AU,southern,entirely
14,AW,northern,entirely
15,AX,northern,entirely
16,AZ,northern,entirely
17,BA,northern,entirely
18,BB,northern,entirely
19,BD,northern,entirely
20,BE,northern,entirely
21,BF,northern,entirely
22,BG,northern,entirely
23,BH,northern,entirely
24,BI,southern,entirely
25,BJ,northern,entirely
26,BL,northern,entirely
27,BM,northern,entirely
28,BN,northern,entirely
29,BO,southern,entirely
30,BQ,northern,entirely
31,BR,southern,mostly
32,BS,northern,entirely
33,BT,northern,entirely
34,BV,southern,entirely
35,BW,southern,entirely
36,BY,northern,entirely
37,BZ,northern,entirely
38,CA,northern,entirely
39,CC,southern,entirely
40,CD,southern,mostly
41,CF,northern,entirely
42,CG,southern,mostly
43,CH,northern,entirely
44,CI,northern,entirely
45,CK,southern,entirely
46,CL,southern,entirely
47,CM,northern,entirely
48,CN,northern,entirely
49,CO,northern,mostly
50,CR,northern,entirely
51,CU,northern,entirely
52,CV,northern,entirely
53,CW,northern,entirely
54,CX,southern,entirely
55,CY,northern,entirely
56,CZ,northern,entirely
57,DE,northern,entirely
58,DJ,northern,entirely
59,DK,northern,entirely
60,DM,northern,entirely
61,DO,northern,entirely
62,DZ,northern,entirely
63,EC,southern,mostly
64,EE,northern,entirely
65,EG,northern,entirely
66,EH,northern,entirely
67,ER,northern,entirely
68,ES,northern,entirely
69,ET,northern,entirely
70,FI,northern,entirely
71,FJ,southern,entirely
72,FK,southern,entirely
73,FM,northern,entirely
74,FO,northern,entirely
75,FR,northern,entirely
76,GA,southern,mostly
77,GB,northern,entirely
78,GD,northern,entirely
79,GE,northern,entirely
80,GF,northern,entirely
81,GG,northern,entirely
82,GH,northern,entirely
83,GI,northern,entirely
84,GL,northern,entirely
85,GM,northern,entirely
86,GN,southern,entirely
87,GP,northern,entirely
88,GQ,northern,entirely
89,GR,northern,entirely
90,GS,southern,entirely
91,GT,northern,entirely
92,GU,northern,entirely
93,GW,northern,entirely
94,GY,northern,entirely
95,HK,northern,entirely
96,HM,southern,entirely
97,HN,northern,entirely
98,HR,northern,entirely
99,HT,northern,entirely
100,HU,northern,entirely
101,ID,southern,mostly
102,IE,northern,entirely
103,IL,northern,entirely
104,IM,northern,entirely
105,IN,northern,entirely
106,IO,southern,entirely
107,IQ,northern,entirely
108,IR,northern,entirely
109,IS,northern,entirely
110,IT,northern,entirely
111,JE,northern,entirely
112,JM,northern,entirely
113,JO,northern,entirely
114,JP,northern,entirely
115,KE,northern,mostly
116,KG,northern,entirely
117,KH,northern,entirely
118,KI,southern,mostly
119,KM,southern,entirely
120,KN,northern,entirely
121,KP,northern,entirely
122,KR,northern,entirely
123,KW,northern,entirely
124,KY,northern,entirely
125,KZ,northern,entirely
126,LA,northern,entirely
127,LB,northern,entirely
128,LC,northern,entirely
129,LI,northern,entirely
130,LK,northern,entirely
131,LR,northern,entirely
132,LS,southern,entirely
133,LT,northern,entirely
134,LU,northern,entirely
135,LV,northern,entirely
136,LY,northern,entirely
137,MA,northern,entirely
138,MC,northern,entirely
139,MD,northern,entirely
140,ME,northern,entirely
141,MF,northern,entirely
142,MG,southern,entirely
143,MH,northern,entirely
144,MK,northern,entirely
145,ML,northern,entirely
146,MM,northern,entirely
147,MN,northern,entirely
148,MO,northern,entirely
149,MP,southern,entirely
150,MQ,northern,entirely
151,MR,northern,entirely
152,MS,northern,entirely
153,MT,northern,entirely
154,MU,southern,entirely
155,MV,northern,entirely
156,MW,southern,entirely
157,MX,northern,entirely
158,MY,northern,entirely
159,MZ,southern,entirely
160,NA,southern,entirely
161,NC,southern,entirely
162,NE,northern,entirely
163,NF,southern,entirely
164,NG,northern,entirely
165,NI,northern,entirely
166,NL,northern,entirely
167,NO,northern,entirely
168,NP,northern,entirely
169,NR,southern,entirely
170,NU,southern,entirely
171,NZ,southern,entirely
172,OM,northern,entirely
173,PA,northern,entirely
174,PE,southern,entirely
175,PF,southern,entirely
176,PG,southern,entirely
177,PH,northern,entirely
178,PK,northern,entirely
179,PL,northern,entirely
180,PM,northern,entirely
181,PN,southern,entirely
182,PR,northern,entirely
183,PS,northern,entirely
184,PT,northern,entirely
185,PW,northern,entirely
186,PY,southern,entirely
187,QA,northern,entirely
188,RE,southern,entirely
189,RO,northern,entirely
190,RS,northern,entirely
191,RU,northern,entirely
192,RW,southern,entirely
193,SA,northern,entirely
194,SB,southern,entirely
195,SC,southern,entirely
196,SD,northern,entirely
197,SE,northern,entirely
198,SG,northern,entirely
199,SH,southern,entirely
200,SI,northern,entirely
201,SJ,northern,entirely
202,SK,northern,entirely
203,SL,northern,entirely
204,SM,northern,entirely
205,SN,northern,entirely
206,SO,northern,mostly
207,SR,northern,entirely
208,SS,northern,entirely
209,ST,northern,entirely
210,SV,northern,entirely
211,SX,northern,entirely
212,SY,northern,entirely
213,SZ,southern,entirely
214,TC,northern,entirely
215,TD,northern,entirely
216,TF,southern,entirely
217,TG,northern,entirely
218,TH,northern,entirely
219,TJ,northern,entirely
220,TK,southern,entirely
221,TL,southern,entirely
222,TM,northern,entirely
223,TN,northern,entirely
224,TO,southern,entirely
225,TR,northern,entirely
226,TT,northern,entirely
227,TV,southern,entirely
228,TW,northern,entirely
229,TZ,southern,entirely
230,UA,northern,entirely
231,UG,northern,mostly
232,UM,northern,mostly
233,US,northern,entirely
234,UY,southern,entirely
235,UZ,northern,entirely
236,VA,northern,entirely
237,VC,northern,entirely
238,VE,northern,entirely
239,VG,northern,entirely
240,VI,northern,entirely
241,VN,northern,entirely
242,VU,southern,entirely
243,WF,southern,entirely
244,WS,southern,entirely
245,YE,northern,entirely
246,YT,southern,entirely
247,ZA,southern,entirely
248,ZM,southern,entirely
249,ZW,southern,entirely
